mood,sleep_hours,sleep_quality,task_priority,stress_level,task_duration
stressed,3,poor,low,9,152
happy,5,good,high,7,125
neutral,4,good,medium,6,156
stressed,7,poor,low,3,179
sad,5,good,medium,7,98
stressed,9,average,low,7,180
sad,3,poor,low,5,130
stressed,3,good,high,4,103
sad,9,poor,medium,8,54
sad,7,average,high,2,121
stressed,7,poor,high,7,96
stressed,4,average,high,4,102
stressed,5,average,medium,10,76
neutral,4,good,high,10,35
happy,6,poor,medium,5,132
neutral,9,good,medium,9,32
neutral,6,good,low,10,63
neutral,4,average,high,10,61
neutral,7,good,high,1,45
stressed,4,good,medium,6,48
happy,7,good,high,5,78
neutral,4,good,low,10,83
sad,3,good,medium,3,66
sad,9,poor,low,1,72
neutral,7,average,low,10,163
happy,4,good,low,4,150
happy,3,good,high,8,38
neutral,9,good,high,5,96
stressed,3,average,medium,3,32
stressed,6,average,medium,3,95
happy,7,poor,high,6,49
happy,9,good,medium,9,86
stressed,5,poor,low,6,71
happy,3,average,medium,1,157
happy,9,average,medium,5,74
happy,4,average,high,4,95
happy,8,poor,high,1,99
sad,7,good,low,6,88
stressed,4,average,medium,2,136
stressed,4,average,low,8,48
stressed,3,good,low,6,129
sad,8,poor,medium,9,179
stressed,7,poor,low,6,129
stressed,9,average,high,5,110
happy,8,good,medium,10,171
sad,9,poor,high,2,85
neutral,6,average,high,3,129
neutral,4,average,medium,8,63
stressed,7,good,medium,3,45
stressed,7,good,medium,2,62
neutral,4,good,low,10,93
sad,4,good,high,7,102
sad,5,average,low,2,56
happy,6,poor,high,3,123
neutral,5,good,high,2,46
happy,5,good,high,3,132
stressed,6,poor,high,5,149
stressed,5,average,medium,2,45
happy,3,poor,medium,1,67
happy,5,good,medium,1,167
sad,4,poor,medium,8,177
happy,6,poor,medium,1,71
stressed,3,good,medium,4,129
neutral,8,poor,medium,1,136
stressed,9,good,medium,1,107
stressed,5,poor,medium,1,110
happy,5,poor,medium,7,45
stressed,7,average,medium,10,128
sad,5,poor,low,2,78
sad,9,average,low,9,177
happy,3,good,medium,3,112
stressed,7,good,high,7,79
sad,9,average,high,1,56
happy,3,good,high,1,165
happy,6,poor,low,9,149
neutral,6,good,medium,6,52
sad,5,poor,medium,5,161
happy,6,good,medium,8,101
happy,3,poor,high,8,36
neutral,6,poor,medium,6,127
sad,8,good,low,2,120
neutral,3,good,low,8,126
happy,5,poor,high,5,174
happy,4,good,high,6,42
happy,8,average,high,10,73
stressed,5,good,low,8,50
happy,8,poor,high,10,68
neutral,5,poor,low,7,88
sad,7,poor,high,6,86
happy,6,poor,medium,8,124
neutral,7,good,medium,8,68
neutral,9,average,medium,4,96
neutral,6,average,medium,8,67
neutral,3,average,low,9,88
stressed,6,good,high,4,79
sad,3,good,high,1,129
happy,9,average,low,1,123
sad,9,poor,high,8,48
neutral,4,good,low,3,69
neutral,9,poor,high,6,66
sad,8,average,high,1,149
sad,7,average,high,6,59
neutral,5,good,medium,4,167
happy,6,average,low,6,50
happy,7,poor,low,4,161
sad,4,poor,low,9,161
neutral,8,average,high,2,102
sad,6,average,high,2,47
stressed,3,good,medium,7,126
neutral,9,good,low,2,102
neutral,4,average,high,1,114
neutral,5,poor,medium,3,162
happy,5,good,medium,10,140
neutral,5,good,medium,1,100
happy,9,average,low,8,179
neutral,9,poor,medium,3,109
stressed,3,good,medium,6,58
neutral,7,good,medium,9,158
neutral,7,poor,high,8,165
happy,9,poor,low,4,171
stressed,6,average,low,9,106
sad,7,average,high,2,163
neutral,9,poor,medium,9,108
happy,3,average,medium,1,129
happy,7,poor,high,7,35
sad,4,poor,low,4,98
neutral,9,poor,high,4,70
stressed,4,poor,low,8,102
happy,3,good,high,2,60
sad,6,poor,medium,10,44
sad,9,poor,high,6,111
happy,6,good,medium,8,44
neutral,3,good,medium,1,106
happy,8,average,high,9,141
stressed,7,average,low,4,71
happy,6,poor,low,7,72
stressed,8,good,low,4,58
sad,7,average,medium,5,50
stressed,3,poor,low,3,58
happy,3,poor,medium,10,173
happy,9,good,medium,2,45
sad,6,average,high,2,60
happy,3,poor,medium,7,173
stressed,5,good,low,8,79
neutral,8,good,medium,7,142
happy,4,average,high,5,66
happy,8,average,high,1,115
happy,4,poor,medium,2,137
sad,5,good,medium,9,36
sad,5,good,low,5,84
neutral,6,good,high,2,97
happy,8,poor,low,4,93
happy,8,good,medium,8,168
sad,3,good,medium,1,67
happy,3,average,high,8,46
neutral,8,poor,high,1,83
stressed,9,good,medium,9,140
sad,9,poor,high,3,83
stressed,9,good,medium,3,81
happy,3,poor,high,10,101
stressed,9,average,low,6,96
neutral,5,poor,low,10,61
happy,6,average,high,3,73
sad,6,good,high,4,92
stressed,9,good,high,4,173
sad,3,good,medium,4,107
stressed,9,average,high,7,79
sad,8,poor,high,1,146
happy,8,poor,medium,1,72
happy,8,average,low,7,144
sad,9,poor,medium,7,30
neutral,3,average,low,6,116
neutral,6,average,low,7,97
happy,6,poor,medium,7,94
stressed,9,poor,medium,9,118
happy,7,average,low,3,177
stressed,7,average,medium,4,73
stressed,3,average,high,8,155
neutral,7,good,low,5,32
stressed,9,poor,high,2,93
happy,8,poor,low,1,94
neutral,8,good,low,10,42
stressed,5,good,low,5,126
neutral,5,average,high,9,131
sad,3,average,high,6,106
stressed,4,good,low,9,129
sad,3,poor,medium,3,86
sad,5,average,medium,2,124
neutral,8,good,low,7,115
stressed,4,average,medium,2,117
sad,5,average,high,7,67
neutral,6,good,medium,10,79
happy,5,poor,low,1,75
stressed,6,poor,high,2,120
happy,5,good,medium,7,92
sad,8,average,low,4,92
neutral,7,poor,low,6,152
stressed,6,poor,high,8,121
sad,4,poor,high,9,44
happy,3,average,low,10,79
stressed,6,good,low,4,92
happy,4,average,medium,3,119
happy,5,good,high,5,147
stressed,6,good,low,1,149
stressed,9,average,low,8,166
sad,3,good,medium,6,142
happy,6,good,medium,9,102
neutral,9,good,medium,4,30
stressed,9,poor,low,3,123
stressed,5,poor,low,6,74
sad,8,average,medium,8,102
happy,5,average,low,2,175
stressed,5,average,low,6,129
sad,8,poor,high,8,113
neutral,5,good,low,6,100
happy,3,average,low,7,87
sad,4,good,medium,6,131
happy,9,poor,low,3,178
stressed,7,good,medium,7,48
sad,9,average,high,9,60
happy,7,poor,high,10,57
sad,4,good,high,7,83
neutral,9,good,high,7,162
stressed,6,good,medium,2,149
stressed,3,good,medium,3,155
sad,5,poor,medium,6,73
neutral,3,good,medium,8,90
stressed,6,average,high,2,94
happy,8,poor,high,10,68
neutral,9,average,low,1,32
sad,8,poor,high,4,150
stressed,4,average,medium,2,57
stressed,6,poor,low,8,57
happy,6,good,low,1,39
sad,3,average,low,2,150
happy,5,good,medium,5,51
sad,5,poor,medium,7,58
stressed,7,average,high,4,169
neutral,7,good,medium,1,100
stressed,5,average,high,6,148
happy,9,average,high,4,129
sad,7,average,low,10,127
stressed,6,good,low,2,133
neutral,3,poor,high,7,155
stressed,3,good,low,2,106
sad,8,average,medium,6,134
sad,3,poor,medium,4,107
stressed,8,poor,low,6,40
neutral,6,good,medium,8,100
neutral,7,average,high,2,157
sad,9,poor,high,9,95
stressed,3,poor,low,1,73
neutral,9,good,high,3,101
stressed,6,poor,medium,9,160
happy,9,average,low,7,92
stressed,5,good,high,2,47
stressed,9,average,medium,2,146
stressed,7,poor,low,5,135
sad,3,good,high,9,35
neutral,9,average,low,6,37
neutral,3,poor,medium,10,133
stressed,8,average,high,9,87
sad,7,average,medium,3,149
stressed,3,poor,medium,9,55
stressed,8,average,high,2,157
neutral,8,average,low,8,30
happy,4,poor,low,7,129
happy,7,poor,medium,4,70
stressed,7,good,high,8,99
neutral,5,average,low,7,168
happy,9,good,low,3,143
neutral,5,average,medium,8,166
neutral,6,average,high,1,33
stressed,6,poor,high,8,161
happy,8,average,low,1,158
happy,4,poor,medium,9,126
neutral,8,good,low,5,39
sad,4,poor,high,3,41
sad,9,poor,high,4,164
neutral,5,average,low,5,176
stressed,7,average,high,3,158
sad,9,average,high,1,63
sad,7,good,high,2,172
neutral,7,average,medium,4,56
sad,7,good,medium,8,120
stressed,4,poor,medium,9,91
happy,7,poor,medium,10,62
stressed,9,good,high,2,52
happy,4,poor,low,4,49
sad,5,good,low,7,158
neutral,7,average,high,9,157
stressed,4,good,low,7,91
sad,4,good,high,6,136
sad,8,poor,low,4,31
happy,8,average,low,4,153
sad,9,average,medium,1,98
sad,9,average,high,1,158
stressed,8,average,low,6,41
happy,9,average,medium,1,180
stressed,9,good,low,4,156
