mood,sleep_hours,stress_level,task_priority,task_duration,action,time_slot
neutral,6,8,high,169,rest,evening
neutral,9,9,medium,63,rest,evening
happy,6,4,medium,175,delay,evening
neutral,9,8,high,76,rest,evening
stressed,8,2,low,48,light,afternoon
stressed,9,2,high,159,delay,afternoon
happy,9,4,high,136,do_now,morning
neutral,7,3,medium,34,light,afternoon
happy,7,7,medium,39,rest,afternoon
neutral,6,6,high,88,light,afternoon
neutral,6,6,medium,158,do_now,afternoon
neutral,3,4,high,90,delay,afternoon
sad,3,5,high,74,light,afternoon
neutral,3,1,low,125,light,evening
stressed,9,8,high,180,rest,evening
stressed,5,2,high,66,delay,evening
sad,6,10,high,99,rest,evening
neutral,7,7,high,137,do_now,evening
happy,7,9,high,82,do_now,morning
sad,8,8,high,66,rest,evening
stressed,5,2,high,102,light,morning
neutral,6,10,high,53,rest,evening
stressed,9,1,high,121,delay,morning
neutral,7,7,low,45,delay,morning
stressed,5,10,medium,64,rest,evening
happy,6,3,low,116,delay,evening
happy,6,4,medium,146,delay,afternoon
sad,5,4,medium,94,light,afternoon
neutral,3,10,high,164,rest,evening
neutral,8,2,low,156,do_now,afternoon
sad,9,9,medium,51,rest,evening
sad,9,9,medium,39,rest,evening
happy,7,5,low,50,delay,morning
happy,7,8,medium,82,rest,evening
sad,6,6,high,151,light,afternoon
sad,9,9,low,114,rest,evening
happy,5,5,low,178,do_now,afternoon
happy,7,3,high,44,do_now,morning
happy,8,8,medium,88,rest,evening
sad,4,7,high,33,light,afternoon
neutral,4,9,high,33,rest,evening
sad,7,10,low,66,rest,evening
sad,6,3,medium,95,light,afternoon
happy,8,9,medium,61,rest,evening
stressed,3,8,high,130,rest,evening
sad,9,6,medium,140,light,afternoon
neutral,6,10,low,88,rest,evening
happy,5,1,low,169,do_now,morning
stressed,5,6,high,113,delay,afternoon
happy,6,7,medium,41,light,evening
sad,4,9,medium,143,rest,evening
neutral,3,9,low,92,rest,evening
stressed,8,6,medium,40,rest,afternoon
stressed,4,4,high,148,rest,morning
neutral,6,6,low,141,rest,afternoon
neutral,3,9,low,130,rest,evening
happy,6,3,medium,150,light,morning
stressed,5,6,medium,139,light,afternoon
sad,6,9,low,78,rest,evening
sad,7,3,medium,131,light,afternoon
neutral,7,1,medium,73,rest,evening
happy,6,8,high,40,do_now,morning
sad,5,5,high,50,light,afternoon
stressed,8,5,high,134,do_now,morning
stressed,3,4,low,94,rest,morning
sad,5,8,medium,179,rest,evening
happy,9,3,medium,104,delay,evening
happy,4,10,medium,99,rest,evening
